reference,comparison,combination,chi_sq,p_value
CNN,CTB,CNN-CTB,44.74742748803571,0.9937257040045483
CNN,FXN,CNN-FXN,37.77837191738328,0.9995866435697248
CNN,HFP,CNN-HFP,55.12737633216974,0.9176645084825585
CNN,NBC,CNN-NBC,52.1055366591081,0.9550399243356872
CNN,NYT,CNN-NYT,28.186513518061346,0.9999987807321947
CNN,RET,CNN-RET,46.43474147295322,0.9894214854251597
CNN,WPO,CNN-WPO,113.74291909190714,0.0009660855996024287
CNN,WSJ,CNN-WSJ,30.94104594989327,0.9999910550748569
CTB,CNN,CTB-CNN,44.74742748803571,0.9937257040045483
CTB,FXN,CTB-FXN,187.03226422773594,2.173927704518519e-12
CTB,HFP,CTB-HFP,227.0938407101692,0.0
CTB,NBC,CTB-NBC,1.682692307692307,1.0
CTB,NYT,CTB-NYT,138.04682384392189,3.2953372550714732e-06
CTB,RET,CTB-RET,197.33096040476147,7.793765632868599e-14
CTB,WPO,CTB-WPO,369.0316174029711,0.0
CTB,WSJ,CTB-WSJ,3.4181398311833098,1.0
FXN,CNN,FXN-CNN,37.77837191738328,0.9995866435697248
FXN,CTB,FXN-CTB,187.03226422773594,2.173927704518519e-12
FXN,HFP,FXN-HFP,5.778155176628779,1.0
FXN,NBC,FXN-NBC,205.78397856214528,4.773959005888173e-15
FXN,NYT,FXN-NYT,46.225241807071185,0.9900609587452012
FXN,RET,FXN-RET,13.511883200179764,0.9999999999999934
FXN,WPO,FXN-WPO,47.87128442948441,0.9840702143319495
FXN,WSJ,FXN-WSJ,152.83688330199266,6.23101171770557e-08
HFP,CNN,HFP-CNN,55.12737633216974,0.9176645084825585
HFP,CTB,HFP-CTB,227.0938407101692,0.0
HFP,FXN,HFP-FXN,5.778155176628779,1.0
HFP,NBC,HFP-NBC,249.240610007769,0.0
HFP,NYT,HFP-NYT,78.38560445184967,0.25622535392076995
HFP,RET,HFP-RET,29.87867538097546,0.9999957009150913
HFP,WPO,HFP-WPO,29.70327361479002,0.9999962066646045
HFP,WSJ,HFP-WSJ,187.17898965668903,2.07467376611703e-12
NBC,CNN,NBC-CNN,52.1055366591081,0.9550399243356872
NBC,CTB,NBC-CTB,1.682692307692307,1.0
NBC,FXN,NBC-FXN,205.78397856214528,4.773959005888173e-15
NBC,HFP,NBC-HFP,249.240610007769,0.0
NBC,NYT,NBC-NYT,152.24704286738213,7.344921992835651e-08
NBC,RET,NBC-RET,216.72648786407703,1.1102230246251565e-16
NBC,WPO,NBC-WPO,402.9397364496475,0.0
NBC,WSJ,NBC-WSJ,6.012767425810905,1.0
NYT,CNN,NYT-CNN,28.186513518061346,0.9999987807321947
NYT,CTB,NYT-CTB,138.04682384392189,3.2953372550714732e-06
NYT,FXN,NYT-FXN,46.225241807071185,0.9900609587452012
NYT,HFP,NYT-HFP,78.38560445184967,0.25622535392076995
NYT,NBC,NYT-NBC,152.24704286738213,7.344921992835651e-08
NYT,RET,NYT-RET,22.57753415417484,0.9999999931777349
NYT,WPO,NYT-WPO,192.44724039433487,3.821387650759789e-13
NYT,WSJ,NYT-WSJ,110.68436611130632,0.0018051289166657325
RET,CNN,RET-CNN,46.43474147295322,0.9894214854251597
RET,CTB,RET-CTB,197.33096040476147,7.793765632868599e-14
RET,FXN,RET-FXN,13.511883200179764,0.9999999999999934
RET,HFP,RET-HFP,29.87867538097546,0.9999957009150913
RET,NBC,RET-NBC,216.72648786407703,1.1102230246251565e-16
RET,NYT,RET-NYT,22.57753415417484,0.9999999931777349
RET,WPO,RET-WPO,110.11600029668516,0.0020223825886045432
RET,WSJ,RET-WSJ,161.32900429694462,5.541272662945573e-09
WPO,CNN,WPO-CNN,113.74291909190714,0.0009660855996024287
WPO,CTB,WPO-CTB,369.0316174029711,0.0
WPO,FXN,WPO-FXN,47.87128442948441,0.9840702143319495
WPO,HFP,WPO-HFP,29.70327361479002,0.9999962066646045
WPO,NBC,WPO-NBC,402.9397364496475,0.0
WPO,NYT,WPO-NYT,192.44724039433487,3.821387650759789e-13
WPO,RET,WPO-RET,110.11600029668516,0.0020223825886045432
WPO,WSJ,WPO-WSJ,308.9877291472126,0.0
WSJ,CNN,WSJ-CNN,30.94104594989327,0.9999910550748569
WSJ,CTB,WSJ-CTB,3.4181398311833098,1.0
WSJ,FXN,WSJ-FXN,152.83688330199266,6.23101171770557e-08
WSJ,HFP,WSJ-HFP,187.17898965668903,2.07467376611703e-12
WSJ,NBC,WSJ-NBC,6.012767425810905,1.0
WSJ,NYT,WSJ-NYT,110.68436611130632,0.0018051289166657325
WSJ,RET,WSJ-RET,161.32900429694462,5.541272662945573e-09
WSJ,WPO,WSJ-WPO,308.9877291472126,0.0
