reference,comparison,combination,chi_sq,p_value
CNN,CTB,CNN-CTB,24.555975380813184,0.9999999479801405
CNN,FXN,CNN-FXN,38.56485083034252,0.9994083155771345
CNN,HFP,CNN-HFP,58.73214924568076,0.8505420094295573
CNN,NBC,CNN-NBC,31.419846050870145,0.9999877245610048
CNN,NYT,CNN-NYT,8.44520940906483,1.0
CNN,RET,CNN-RET,32.134188233763986,0.9999806099503622
CNN,WPO,CNN-WPO,120.42353352833442,0.00022862682304491955
CNN,WSJ,CNN-WSJ,20.830639631697522,0.9999999990935688
CTB,FXN,CTB-FXN,124.28597572134449,9.506204044662514e-05
CTB,HFP,CTB-HFP,167.11964495015346,1.0096380398394444e-09
CTB,NBC,CTB-NBC,1.682692307692307,1.0
CTB,NYT,CTB-NYT,57.08980674497915,0.884289261325854
CTB,RET,CTB-RET,110.51781801406989,0.0018664092861612191
CTB,WPO,CTB-WPO,298.0198668880058,0.0
CTB,WSJ,CTB-WSJ,0.35021888680425234,1.0
FXN,HFP,FXN-HFP,1.539622003437458,1.0
FXN,NBC,FXN-NBC,138.20938966665332,3.1606149156759855e-06
FXN,NYT,FXN-NYT,10.09668950502657,1.0
FXN,RET,FXN-RET,0.23748659528301452,1.0
FXN,WPO,FXN-WPO,14.114545045784936,0.9999999999999769
FXN,WSJ,FXN-WSJ,116.16572646406405,0.0005795661876765168
HFP,NBC,HFP-NBC,184.45934055656278,4.9178439098795934e-12
HFP,NYT,HFP-NYT,20.168962350780532,0.9999999996037098
HFP,RET,HFP-RET,3.0032412245055924,1.0
HFP,WPO,HFP-WPO,6.104036422186441,1.0
HFP,WSJ,HFP-WSJ,156.98926231346076,1.931303250657379e-08
NBC,NYT,NBC-NYT,65.9837231352718,0.6461629065261092
NBC,RET,NBC-RET,123.36463238644993,0.0001175281697235464
NBC,WPO,NBC-WPO,326.08415300904204,0.0
NBC,WSJ,NBC-WSJ,3.2605013550135507,1.0
NYT,RET,NYT-RET,7.155391028070074,1.0
NYT,WPO,NYT-WPO,53.57730263108836,0.9388476237549662
NYT,WSJ,NYT-WSJ,51.9785822555562,0.9562698505834011
RET,WPO,RET-WPO,18.324955983554734,0.9999999999679628
RET,WSJ,RET-WSJ,103.03339359196204,0.007771292443798483
WPO,WSJ,WPO-WSJ,281.6012923762003,0.0
