reference,comparison,topic,mean_sentiment,median_sentiment
CNN,CTB,united states,0.09959312169312169,0.14376666666666668
CNN,CTB,united states government,0.17436666666666664,0.17436666666666664
CNN,CTB,congress,0.057804235727440145,0.09106666666666667
CNN,CTB,congress,0.057804235727440145,0.09106666666666667
CNN,CTB,congress,0.057804235727440145,0.09106666666666667
CNN,CTB,sexual intercourse,NaN,NaN
CNN,CTB,white house,0.09868634751773049,0.10731666666666667
CNN,CTB,white house,0.09868634751773049,0.10731666666666667
CNN,CTB,america,0.027806937394247038,0.029299999999999993
CNN,CTB,department of state,NaN,NaN
CNN,FXN,united states,0.002990604026845637,0.002116666666666674
CNN,FXN,united states government,0.01612117117117117,0.0
CNN,FXN,congress,0.005855969868173258,0.0
CNN,FXN,congress,0.005855969868173258,0.0
CNN,FXN,congress,0.005855969868173258,0.0
CNN,FXN,sexual intercourse,NaN,NaN
CNN,FXN,white house,0.01581015655965121,0.015633333333333332
CNN,FXN,white house,0.01581015655965121,0.015633333333333332
CNN,FXN,america,0.008970733348284368,0.00686666666666665
CNN,FXN,department of state,-0.05757142857142857,0.0
CNN,HFP,united states,0.05154402650904531,0.05103333333333334
CNN,HFP,united states government,-0.12147238095238096,-0.17759999999999998
CNN,HFP,congress,0.03967959879248223,0.03516666666666668
CNN,HFP,congress,0.03967959879248223,0.03516666666666668
CNN,HFP,congress,0.03967959879248223,0.03516666666666668
CNN,HFP,sexual intercourse,0.0,0.0
CNN,HFP,white house,0.050189595545134816,0.04419999999999999
CNN,HFP,white house,0.050189595545134816,0.04419999999999999
CNN,HFP,america,0.05350351520379556,0.05023333333333334
CNN,HFP,department of state,0.05142,0.012799999999999997
CNN,NBC,united states,0.2511676190476191,0.31883333333333336
CNN,NBC,united states government,NaN,NaN
CNN,NBC,congress,-0.08723333333333333,-0.08723333333333333
CNN,NBC,congress,-0.08723333333333333,-0.08723333333333333
CNN,NBC,congress,-0.08723333333333333,-0.08723333333333333
CNN,NBC,sexual intercourse,NaN,NaN
CNN,NBC,white house,0.12737391304347825,0.16463333333333333
CNN,NBC,white house,0.12737391304347825,0.16463333333333333
CNN,NBC,america,0.0272156862745098,0.14049999999999999
CNN,NBC,department of state,NaN,NaN
CNN,NYT,united states,0.04916946666666667,0.07168333333333335
CNN,NYT,united states government,0.0048257777777777735,0.014299999999999998
CNN,NYT,congress,0.058200675037127045,0.07603333333333334
CNN,NYT,congress,0.058200675037127045,0.07603333333333334
CNN,NYT,congress,0.058200675037127045,0.07603333333333334
CNN,NYT,sexual intercourse,NaN,NaN
CNN,NYT,white house,0.045846045566681176,0.062233333333333335
CNN,NYT,white house,0.045846045566681176,0.062233333333333335
CNN,NYT,america,0.05572105263157895,0.06921666666666668
CNN,NYT,department of state,NaN,NaN
CNN,RET,united states,0.013917428236672524,0.010066666666666668
CNN,RET,united states government,0.0021453703703703695,0.08066666666666664
CNN,RET,congress,0.031050990018000327,0.025733333333333334
CNN,RET,congress,0.031050990018000327,0.025733333333333334
CNN,RET,congress,0.031050990018000327,0.025733333333333334
CNN,RET,sexual intercourse,0.20795000000000002,0.20795000000000002
CNN,RET,white house,0.03236622210823288,0.0328
CNN,RET,white house,0.03236622210823288,0.0328
CNN,RET,america,0.02807279328341275,0.025733333333333334
CNN,RET,department of state,0.08563333333333334,0.07246666666666667
CNN,WPO,united states,0.030501066217732884,0.02811666666666668
CNN,WPO,united states government,0.07971666666666666,0.09065000000000001
CNN,WPO,congress,0.03677428955023495,0.038166666666666675
CNN,WPO,congress,0.03677428955023495,0.038166666666666675
CNN,WPO,congress,0.03677428955023495,0.038166666666666675
CNN,WPO,sexual intercourse,NaN,NaN
CNN,WPO,white house,0.040513013347022585,0.042666666666666665
CNN,WPO,white house,0.040513013347022585,0.042666666666666665
CNN,WPO,america,0.05438590136360906,0.06040000000000001
CNN,WPO,department of state,NaN,NaN
CNN,WSJ,united states,0.05620980392156863,0.10533333333333333
CNN,WSJ,united states government,-0.05686666666666666,-0.05686666666666666
CNN,WSJ,congress,0.10370598958333334,0.11438333333333334
CNN,WSJ,congress,0.10370598958333334,0.11438333333333334
CNN,WSJ,congress,0.10370598958333334,0.11438333333333334
CNN,WSJ,sexual intercourse,NaN,NaN
CNN,WSJ,white house,0.09546400000000001,0.11098333333333332
CNN,WSJ,white house,0.09546400000000001,0.11098333333333332
CNN,WSJ,america,0.11112716049382716,0.1244
CNN,WSJ,department of state,NaN,NaN
CTB,CNN,united states,0.0583326639892905,0.05123333333333333
CTB,CNN,united states government,0.02437333333333332,0.042666666666666665
CTB,CNN,congress,0.04763628498727736,0.042666666666666665
CTB,CNN,congress,0.04763628498727736,0.042666666666666665
CTB,CNN,congress,0.04763628498727736,0.042666666666666665
CTB,CNN,sexual intercourse,NaN,NaN
CTB,CNN,white house,0.045786596385542166,0.03479999999999998
CTB,CNN,white house,0.045786596385542166,0.03479999999999998
CTB,CNN,america,0.05165330634278003,0.042666666666666665
CTB,CNN,clinton,0.060753361344537814,0.05024999999999999
CTB,FXN,united states,0.002990604026845637,0.002116666666666674
CTB,FXN,united states government,0.01612117117117117,0.0
CTB,FXN,congress,0.005855969868173258,0.0
CTB,FXN,congress,0.005855969868173258,0.0
CTB,FXN,congress,0.005855969868173258,0.0
CTB,FXN,sexual intercourse,NaN,NaN
CTB,FXN,white house,0.01581015655965121,0.015633333333333332
CTB,FXN,white house,0.01581015655965121,0.015633333333333332
CTB,FXN,america,0.008970733348284368,0.00686666666666665
CTB,FXN,clinton,-0.009639725651577504,0.006066666666666674
CTB,HFP,united states,0.05154402650904531,0.05103333333333334
CTB,HFP,united states government,-0.12147238095238096,-0.17759999999999998
CTB,HFP,congress,0.03967959879248223,0.03516666666666668
CTB,HFP,congress,0.03967959879248223,0.03516666666666668
CTB,HFP,congress,0.03967959879248223,0.03516666666666668
CTB,HFP,sexual intercourse,0.0,0.0
CTB,HFP,white house,0.050189595545134816,0.04419999999999999
CTB,HFP,white house,0.050189595545134816,0.04419999999999999
CTB,HFP,america,0.05350351520379556,0.05023333333333334
CTB,HFP,clinton,0.08417002909796314,0.08053333333333333
CTB,NBC,united states,0.2511676190476191,0.31883333333333336
CTB,NBC,united states government,NaN,NaN
CTB,NBC,congress,-0.08723333333333333,-0.08723333333333333
CTB,NBC,congress,-0.08723333333333333,-0.08723333333333333
CTB,NBC,congress,-0.08723333333333333,-0.08723333333333333
CTB,NBC,sexual intercourse,NaN,NaN
CTB,NBC,white house,0.12737391304347825,0.16463333333333333
CTB,NBC,white house,0.12737391304347825,0.16463333333333333
CTB,NBC,america,0.0272156862745098,0.14049999999999999
CTB,NBC,clinton,-0.15315,-0.15315
CTB,NYT,united states,0.04916946666666667,0.07168333333333335
CTB,NYT,united states government,0.0048257777777777735,0.014299999999999998
CTB,NYT,congress,0.058200675037127045,0.07603333333333334
CTB,NYT,congress,0.058200675037127045,0.07603333333333334
CTB,NYT,congress,0.058200675037127045,0.07603333333333334
CTB,NYT,sexual intercourse,NaN,NaN
CTB,NYT,white house,0.045846045566681176,0.062233333333333335
CTB,NYT,white house,0.045846045566681176,0.062233333333333335
CTB,NYT,america,0.05572105263157895,0.06921666666666668
CTB,NYT,clinton,0.04882496315944592,0.06043333333333334
CTB,RET,united states,0.013917428236672524,0.010066666666666668
CTB,RET,united states government,0.0021453703703703695,0.08066666666666664
CTB,RET,congress,0.031050990018000327,0.025733333333333334
CTB,RET,congress,0.031050990018000327,0.025733333333333334
CTB,RET,congress,0.031050990018000327,0.025733333333333334
CTB,RET,sexual intercourse,0.20795000000000002,0.20795000000000002
CTB,RET,white house,0.03236622210823288,0.0328
CTB,RET,white house,0.03236622210823288,0.0328
CTB,RET,america,0.02807279328341275,0.025733333333333334
CTB,RET,clinton,0.008006883116883117,0.013033333333333336
CTB,WPO,united states,0.030501066217732884,0.02811666666666668
CTB,WPO,united states government,0.07971666666666666,0.09065000000000001
CTB,WPO,congress,0.03677428955023495,0.038166666666666675
CTB,WPO,congress,0.03677428955023495,0.038166666666666675
CTB,WPO,congress,0.03677428955023495,0.038166666666666675
CTB,WPO,sexual intercourse,NaN,NaN
CTB,WPO,white house,0.040513013347022585,0.042666666666666665
CTB,WPO,white house,0.040513013347022585,0.042666666666666665
CTB,WPO,america,0.05438590136360906,0.06040000000000001
CTB,WPO,clinton,0.06426295283663705,0.06743333333333333
CTB,WSJ,united states,0.05620980392156863,0.10533333333333333
CTB,WSJ,united states government,-0.05686666666666666,-0.05686666666666666
CTB,WSJ,congress,0.10370598958333334,0.11438333333333334
CTB,WSJ,congress,0.10370598958333334,0.11438333333333334
CTB,WSJ,congress,0.10370598958333334,0.11438333333333334
CTB,WSJ,sexual intercourse,NaN,NaN
CTB,WSJ,white house,0.09546400000000001,0.11098333333333332
CTB,WSJ,white house,0.09546400000000001,0.11098333333333332
CTB,WSJ,america,0.11112716049382716,0.1244
CTB,WSJ,clinton,0.19441880341880344,0.21096666666666666
FXN,CNN,united states,0.0583326639892905,0.05123333333333333
FXN,CNN,united states government,0.02437333333333332,0.042666666666666665
FXN,CNN,congress,0.04763628498727736,0.042666666666666665
FXN,CNN,congress,0.04763628498727736,0.042666666666666665
FXN,CNN,congress,0.04763628498727736,0.042666666666666665
FXN,CNN,sexual intercourse,NaN,NaN
FXN,CNN,white house,0.045786596385542166,0.03479999999999998
FXN,CNN,white house,0.045786596385542166,0.03479999999999998
FXN,CNN,america,0.05165330634278003,0.042666666666666665
FXN,CNN,new york,0.068021,0.058600000000000006
FXN,CTB,united states,0.09959312169312169,0.14376666666666668
FXN,CTB,united states government,0.17436666666666664,0.17436666666666664
FXN,CTB,congress,0.057804235727440145,0.09106666666666667
FXN,CTB,congress,0.057804235727440145,0.09106666666666667
FXN,CTB,congress,0.057804235727440145,0.09106666666666667
FXN,CTB,sexual intercourse,NaN,NaN
FXN,CTB,white house,0.09868634751773049,0.10731666666666667
FXN,CTB,white house,0.09868634751773049,0.10731666666666667
FXN,CTB,america,0.027806937394247038,0.029299999999999993
FXN,CTB,new york,0.12954908424908423,0.1565
FXN,HFP,united states,0.05154402650904531,0.05103333333333334
FXN,HFP,united states government,-0.12147238095238096,-0.17759999999999998
FXN,HFP,congress,0.03967959879248223,0.03516666666666668
FXN,HFP,congress,0.03967959879248223,0.03516666666666668
FXN,HFP,congress,0.03967959879248223,0.03516666666666668
FXN,HFP,sexual intercourse,0.0,0.0
FXN,HFP,white house,0.050189595545134816,0.04419999999999999
FXN,HFP,white house,0.050189595545134816,0.04419999999999999
FXN,HFP,america,0.05350351520379556,0.05023333333333334
FXN,HFP,new york,0.05044856641310708,0.05103333333333334
FXN,NBC,united states,0.2511676190476191,0.31883333333333336
FXN,NBC,united states government,NaN,NaN
FXN,NBC,congress,-0.08723333333333333,-0.08723333333333333
FXN,NBC,congress,-0.08723333333333333,-0.08723333333333333
FXN,NBC,congress,-0.08723333333333333,-0.08723333333333333
FXN,NBC,sexual intercourse,NaN,NaN
FXN,NBC,white house,0.12737391304347825,0.16463333333333333
FXN,NBC,white house,0.12737391304347825,0.16463333333333333
FXN,NBC,america,0.0272156862745098,0.14049999999999999
FXN,NBC,new york,0.2118,0.21621666666666667
FXN,NYT,united states,0.04916946666666667,0.07168333333333335
FXN,NYT,united states government,0.0048257777777777735,0.014299999999999998
FXN,NYT,congress,0.058200675037127045,0.07603333333333334
FXN,NYT,congress,0.058200675037127045,0.07603333333333334
FXN,NYT,congress,0.058200675037127045,0.07603333333333334
FXN,NYT,sexual intercourse,NaN,NaN
FXN,NYT,white house,0.045846045566681176,0.062233333333333335
FXN,NYT,white house,0.045846045566681176,0.062233333333333335
FXN,NYT,america,0.05572105263157895,0.06921666666666668
FXN,NYT,new york,0.04302318578741343,0.06186666666666666
FXN,RET,united states,0.013917428236672524,0.010066666666666668
FXN,RET,united states government,0.0021453703703703695,0.08066666666666664
FXN,RET,congress,0.031050990018000327,0.025733333333333334
FXN,RET,congress,0.031050990018000327,0.025733333333333334
FXN,RET,congress,0.031050990018000327,0.025733333333333334
FXN,RET,sexual intercourse,0.20795000000000002,0.20795000000000002
FXN,RET,white house,0.03236622210823288,0.0328
FXN,RET,white house,0.03236622210823288,0.0328
FXN,RET,america,0.02807279328341275,0.025733333333333334
FXN,RET,new york,0.0022023840769903754,0.0
FXN,WPO,united states,0.030501066217732884,0.02811666666666668
FXN,WPO,united states government,0.07971666666666666,0.09065000000000001
FXN,WPO,congress,0.03677428955023495,0.038166666666666675
FXN,WPO,congress,0.03677428955023495,0.038166666666666675
FXN,WPO,congress,0.03677428955023495,0.038166666666666675
FXN,WPO,sexual intercourse,NaN,NaN
FXN,WPO,white house,0.040513013347022585,0.042666666666666665
FXN,WPO,white house,0.040513013347022585,0.042666666666666665
FXN,WPO,america,0.05438590136360906,0.06040000000000001
FXN,WPO,new york,0.059002920560747664,0.06743333333333333
FXN,WSJ,united states,0.05620980392156863,0.10533333333333333
FXN,WSJ,united states government,-0.05686666666666666,-0.05686666666666666
FXN,WSJ,congress,0.10370598958333334,0.11438333333333334
FXN,WSJ,congress,0.10370598958333334,0.11438333333333334
