reference,comparison,topic,mean_sentiment,median_sentiment
HFP,NYT,united states,0.07376125730994153,0.09920000000000001
HFP,NYT,united states government,-0.07094999999999999,-0.08399999999999999
HFP,NYT,congress,0.05570714725816389,0.08210000000000002
HFP,NYT,congress,0.05570714725816389,0.08210000000000002
HFP,NYT,congress,0.05570714725816389,0.08210000000000002
HFP,NYT,sexual intercourse,NaN,NaN
HFP,NYT,white house,0.06837631389488841,0.09316666666666668
HFP,NYT,white house,0.06837631389488841,0.09316666666666668
HFP,NYT,america,0.0733027380952381,0.09223333333333333
HFP,NYT,new york,0.08818995815899582,0.1183
HFP,CNN,united states,0.07011135265700483,0.07543333333333334
HFP,CNN,united states government,NaN,NaN
HFP,CNN,congress,0.09322810103743798,0.10246666666666666
HFP,CNN,congress,0.09322810103743798,0.10246666666666666
HFP,CNN,congress,0.09322810103743798,0.10246666666666666
HFP,CNN,sexual intercourse,NaN,NaN
HFP,CNN,white house,0.11834314641744548,0.11253333333333333
HFP,CNN,white house,0.11834314641744548,0.11253333333333333
HFP,CNN,america,0.09785704498063748,0.09866666666666667
HFP,CNN,new york,0.07306719858156029,0.047666666666666656
HFP,RET,united states,0.04771685226429102,0.0565
HFP,RET,united states government,-0.35105333333333333,-0.5816
HFP,RET,congress,0.10730872274143302,0.10606666666666666
HFP,RET,congress,0.10730872274143302,0.10606666666666666
HFP,RET,congress,0.10730872274143302,0.10606666666666666
HFP,RET,sexual intercourse,NaN,NaN
HFP,RET,white house,0.09962585278276481,0.11359999999999999
HFP,RET,white house,0.09962585278276481,0.11359999999999999
HFP,RET,america,0.08479847908745247,0.08886666666666669
HFP,RET,new york,0.03168869395711501,0.0622
HFP,FXN,united states,0.030986487995533222,0.022199999999999998
HFP,FXN,united states government,0.19309,0.19853333333333334
HFP,FXN,congress,0.03660104166666667,0.020366666666666654
HFP,FXN,congress,0.03660104166666667,0.020366666666666654
HFP,FXN,congress,0.03660104166666667,0.020366666666666654
HFP,FXN,sexual intercourse,NaN,NaN
HFP,FXN,white house,0.03312946916471507,0.026833333333333327
HFP,FXN,white house,0.03312946916471507,0.026833333333333327
HFP,FXN,america,0.04739539990753583,0.03790000000000001
HFP,FXN,new york,0.0535597924773022,0.029299999999999993
HFP,WSJ,united states,0.11209166666666667,0.22915000000000002
HFP,WSJ,united states government,NaN,NaN
HFP,WSJ,congress,0.1016268656716418,0.07543333333333334
HFP,WSJ,congress,0.1016268656716418,0.07543333333333334
HFP,WSJ,congress,0.1016268656716418,0.07543333333333334
HFP,WSJ,sexual intercourse,NaN,NaN
HFP,WSJ,white house,0.09470555555555556,0.12691666666666668
HFP,WSJ,white house,0.09470555555555556,0.12691666666666668
HFP,WSJ,america,0.0625905472636816,0.04729999999999999
HFP,WSJ,new york,0.07906145833333333,0.13156666666666667
NYT,HFP,united states,0.09311257861635219,0.10988333333333333
NYT,HFP,congress,0.056807535121328225,0.05509999999999998
NYT,HFP,congress,0.056807535121328225,0.05509999999999998
NYT,HFP,congress,0.056807535121328225,0.05509999999999998
NYT,HFP,sexual intercourse,NaN,NaN
NYT,HFP,america,0.0698329732510288,0.07998333333333332
NYT,HFP,white house,0.051022420634920636,0.05285000000000001
NYT,HFP,white house,0.051022420634920636,0.05285000000000001
NYT,HFP,new york,0.02050358744394619,0.0
NYT,HFP,europe,0.03756746031746031,0.07113333333333334
NYT,CNN,united states,0.07011135265700483,0.07543333333333334
NYT,CNN,congress,0.09322810103743798,0.10246666666666666
NYT,CNN,congress,0.09322810103743798,0.10246666666666666
NYT,CNN,congress,0.09322810103743798,0.10246666666666666
NYT,CNN,sexual intercourse,NaN,NaN
NYT,CNN,america,0.09785704498063748,0.09866666666666667
NYT,CNN,white house,0.11834314641744548,0.11253333333333333
NYT,CNN,white house,0.11834314641744548,0.11253333333333333
NYT,CNN,new york,0.07306719858156029,0.047666666666666656
NYT,CNN,europe,0.0826896,0.07253333333333334
NYT,RET,united states,0.04771685226429102,0.0565
NYT,RET,congress,0.10730872274143302,0.10606666666666666
NYT,RET,congress,0.10730872274143302,0.10606666666666666
NYT,RET,congress,0.10730872274143302,0.10606666666666666
NYT,RET,sexual intercourse,NaN,NaN
NYT,RET,america,0.08479847908745247,0.08886666666666669
NYT,RET,white house,0.09962585278276481,0.11359999999999999
NYT,RET,white house,0.09962585278276481,0.11359999999999999
NYT,RET,new york,0.03168869395711501,0.0622
NYT,RET,europe,-0.004705156537753225,-0.013933333333333317
NYT,FXN,united states,0.030986487995533222,0.022199999999999998
NYT,FXN,congress,0.03660104166666667,0.020366666666666654
NYT,FXN,congress,0.03660104166666667,0.020366666666666654
NYT,FXN,congress,0.03660104166666667,0.020366666666666654
NYT,FXN,sexual intercourse,NaN,NaN
NYT,FXN,america,0.04739539990753583,0.03790000000000001
NYT,FXN,white house,0.03312946916471507,0.026833333333333327
NYT,FXN,white house,0.03312946916471507,0.026833333333333327
NYT,FXN,new york,0.0535597924773022,0.029299999999999993
NYT,FXN,europe,0.0046369444444444435,0.009766666666666673
NYT,WSJ,united states,0.11209166666666667,0.22915000000000002
NYT,WSJ,congress,0.1016268656716418,0.07543333333333334
NYT,WSJ,congress,0.1016268656716418,0.07543333333333334
NYT,WSJ,congress,0.1016268656716418,0.07543333333333334
NYT,WSJ,sexual intercourse,NaN,NaN
NYT,WSJ,america,0.0625905472636816,0.04729999999999999
NYT,WSJ,white house,0.09470555555555556,0.12691666666666668
NYT,WSJ,white house,0.09470555555555556,0.12691666666666668
NYT,WSJ,new york,0.07906145833333333,0.13156666666666667
NYT,WSJ,europe,0.04824814814814815,0.05413333333333334
CNN,HFP,united states,0.09311257861635219,0.10988333333333333
CNN,HFP,united states government,-0.25774583333333334,-0.1956
CNN,HFP,congress,0.056807535121328225,0.05509999999999998
CNN,HFP,congress,0.056807535121328225,0.05509999999999998
CNN,HFP,congress,0.056807535121328225,0.05509999999999998
CNN,HFP,sexual intercourse,NaN,NaN
CNN,HFP,america,0.0698329732510288,0.07998333333333332
CNN,HFP,white house,0.051022420634920636,0.05285000000000001
CNN,HFP,white house,0.051022420634920636,0.05285000000000001
CNN,HFP,paul,0.08171181592039801,0.1072
CNN,NYT,united states,0.07376125730994153,0.09920000000000001
CNN,NYT,united states government,-0.07094999999999999,-0.08399999999999999
CNN,NYT,congress,0.05570714725816389,0.08210000000000002
CNN,NYT,congress,0.05570714725816389,0.08210000000000002
CNN,NYT,congress,0.05570714725816389,0.08210000000000002
CNN,NYT,sexual intercourse,NaN,NaN
CNN,NYT,america,0.0733027380952381,0.09223333333333333
CNN,NYT,white house,0.06837631389488841,0.09316666666666668
CNN,NYT,white house,0.06837631389488841,0.09316666666666668
CNN,NYT,paul,0.061964285714285715,0.09096666666666667
CNN,RET,united states,0.04771685226429102,0.0565
CNN,RET,united states government,-0.35105333333333333,-0.5816
CNN,RET,congress,0.10730872274143302,0.10606666666666666
CNN,RET,congress,0.10730872274143302,0.10606666666666666
CNN,RET,congress,0.10730872274143302,0.10606666666666666
CNN,RET,sexual intercourse,NaN,NaN
CNN,RET,america,0.08479847908745247,0.08886666666666669
CNN,RET,white house,0.09962585278276481,0.11359999999999999
CNN,RET,white house,0.09962585278276481,0.11359999999999999
CNN,RET,paul,0.12064869281045751,0.14828333333333332
CNN,FXN,united states,0.030986487995533222,0.022199999999999998
CNN,FXN,united states government,0.19309,0.19853333333333334
CNN,FXN,congress,0.03660104166666667,0.020366666666666654
CNN,FXN,congress,0.03660104166666667,0.020366666666666654
CNN,FXN,congress,0.03660104166666667,0.020366666666666654
CNN,FXN,sexual intercourse,NaN,NaN
CNN,FXN,america,0.04739539990753583,0.03790000000000001
CNN,FXN,white house,0.03312946916471507,0.026833333333333327
CNN,FXN,white house,0.03312946916471507,0.026833333333333327
CNN,FXN,paul,0.06408790669122161,0.059633333333333316
CNN,WSJ,united states,0.11209166666666667,0.22915000000000002
CNN,WSJ,united states government,NaN,NaN
CNN,WSJ,congress,0.1016268656716418,0.07543333333333334
CNN,WSJ,congress,0.1016268656716418,0.07543333333333334
CNN,WSJ,congress,0.1016268656716418,0.07543333333333334
CNN,WSJ,sexual intercourse,NaN,NaN
CNN,WSJ,america,0.0625905472636816,0.04729999999999999
CNN,WSJ,white house,0.09470555555555556,0.12691666666666668
CNN,WSJ,white house,0.09470555555555556,0.12691666666666668
CNN,WSJ,paul,0.03630625,0.0
RET,HFP,united states,0.09311257861635219,0.10988333333333333
RET,HFP,united states government,-0.25774583333333334,-0.1956
RET,HFP,congress,0.056807535121328225,0.05509999999999998
RET,HFP,congress,0.056807535121328225,0.05509999999999998
RET,HFP,congress,0.056807535121328225,0.05509999999999998
RET,HFP,sexual intercourse,NaN,NaN
RET,HFP,white house,0.051022420634920636,0.05285000000000001
RET,HFP,white house,0.051022420634920636,0.05285000000000001
RET,HFP,united states house of representatives,NaN,NaN
RET,HFP,america,0.0698329732510288,0.07998333333333332
RET,NYT,united states,0.07376125730994153,0.09920000000000001
RET,NYT,united states government,-0.07094999999999999,-0.08399999999999999
RET,NYT,congress,0.05570714725816389,0.08210000000000002
RET,NYT,congress,0.05570714725816389,0.08210000000000002
RET,NYT,congress,0.05570714725816389,0.08210000000000002
RET,NYT,sexual intercourse,NaN,NaN
RET,NYT,white house,0.06837631389488841,0.09316666666666668
RET,NYT,white house,0.06837631389488841,0.09316666666666668
RET,NYT,united states house of representatives,NaN,NaN
RET,NYT,america,0.0733027380952381,0.09223333333333333
RET,CNN,united states,0.07011135265700483,0.07543333333333334
RET,CNN,united states government,NaN,NaN
RET,CNN,congress,0.09322810103743798,0.10246666666666666
RET,CNN,congress,0.09322810103743798,0.10246666666666666
RET,CNN,congress,0.09322810103743798,0.10246666666666666
RET,CNN,sexual intercourse,NaN,NaN
RET,CNN,white house,0.11834314641744548,0.11253333333333333
RET,CNN,white house,0.11834314641744548,0.11253333333333333
RET,CNN,united states house of representatives,NaN,NaN
RET,CNN,america,0.09785704498063748,0.09866666666666667
RET,FXN,united states,0.030986487995533222,0.022199999999999998
RET,FXN,united states government,0.19309,0.19853333333333334
RET,FXN,congress,0.03660104166666667,0.020366666666666654
RET,FXN,congress,0.03660104166666667,0.020366666666666654
RET,FXN,congress,0.03660104166666667,0.020366666666666654
RET,FXN,sexual intercourse,NaN,NaN
RET,FXN,white house,0.03312946916471507,0.026833333333333327
RET,FXN,white house,0.03312946916471507,0.026833333333333327
RET,FXN,united states house of representatives,NaN,NaN
RET,FXN,america,0.04739539990753583,0.03790000000000001
RET,WSJ,united states,0.11209166666666667,0.22915000000000002
RET,WSJ,united states government,NaN,NaN
RET,WSJ,congress,0.1016268656716418,0.07543333333333334
RET,WSJ,congress,0.1016268656716418,0.07543333333333334
RET,WSJ,congress,0.1016268656716418,0.07543333333333334
RET,WSJ,sexual intercourse,NaN,NaN
RET,WSJ,white house,0.09470555555555556,0.12691666666666668
RET,WSJ,white house,0.09470555555555556,0.12691666666666668
RET,WSJ,united states house of representatives,NaN,NaN
RET,WSJ,america,0.0625905472636816,0.04729999999999999
FXN,HFP,united states,0.09311257861635219,0.10988333333333333
FXN,HFP,united states government,-0.25774583333333334,-0.1956
FXN,HFP,america,0.0698329732510288,0.07998333333333332
FXN,HFP,congress,0.056807535121328225,0.05509999999999998
FXN,HFP,congress,0.056807535121328225,0.05509999999999998
FXN,HFP,congress,0.056807535121328225,0.05509999999999998
FXN,HFP,sexual intercourse,NaN,NaN
FXN,HFP,white house,0.051022420634920636,0.05285000000000001
FXN,HFP,white house,0.051022420634920636,0.05285000000000001
FXN,HFP,department of state,NaN,NaN
FXN,NYT,united states,0.07376125730994153,0.09920000000000001
FXN,NYT,united states government,-0.07094999999999999,-0.08399999999999999
FXN,NYT,america,0.0733027380952381,0.09223333333333333
FXN,NYT,congress,0.05570714725816389,0.08210000000000002
FXN,NYT,congress,0.05570714725816389,0.08210000000000002
FXN,NYT,congress,0.05570714725816389,0.08210000000000002
FXN,NYT,sexual intercourse,NaN,NaN
FXN,NYT,white house,0.06837631389488841,0.09316666666666668
FXN,NYT,white house,0.06837631389488841,0.09316666666666668
FXN,NYT,department of state,NaN,NaN
FXN,CNN,united states,0.07011135265700483,0.07543333333333334
FXN,CNN,united states government,NaN,NaN
FXN,CNN,america,0.09785704498063748,0.09866666666666667
FXN,CNN,congress,0.09322810103743798,0.10246666666666666
FXN,CNN,congress,0.09322810103743798,0.10246666666666666
FXN,CNN,congress,0.09322810103743798,0.10246666666666666
FXN,CNN,sexual intercourse,NaN,NaN
FXN,CNN,white house,0.11834314641744548,0.11253333333333333
FXN,CNN,white house,0.11834314641744548,0.11253333333333333
FXN,CNN,department of state,0.05396369047619047,0.02413333333333334
FXN,RET,united states,0.04771685226429102,0.0565
FXN,RET,united states government,-0.35105333333333333,-0.5816
FXN,RET,america,0.08479847908745247,0.08886666666666669
FXN,RET,congress,0.10730872274143302,0.10606666666666666
FXN,RET,congress,0.10730872274143302,0.10606666666666666
FXN,RET,congress,0.10730872274143302,0.10606666666666666
FXN,RET,sexual intercourse,NaN,NaN
FXN,RET,white house,0.09962585278276481,0.11359999999999999
FXN,RET,white house,0.09962585278276481,0.11359999999999999
FXN,RET,department of state,NaN,NaN
FXN,WSJ,united states,0.11209166666666667,0.22915000000000002
FXN,WSJ,united states government,NaN,NaN
FXN,WSJ,america,0.0625905472636816,0.04729999999999999
FXN,WSJ,congress,0.1016268656716418,0.07543333333333334
FXN,WSJ,congress,0.1016268656716418,0.07543333333333334
FXN,WSJ,congress,0.1016268656716418,0.07543333333333334
FXN,WSJ,sexual intercourse,NaN,NaN
FXN,WSJ,white house,0.09470555555555556,0.12691666666666668
FXN,WSJ,white house,0.09470555555555556,0.12691666666666668
FXN,WSJ,department of state,NaN,NaN
WSJ,HFP,united states,0.09311257861635219,0.10988333333333333
WSJ,HFP,united states government,-0.25774583333333334,-0.1956
WSJ,HFP,congress,0.056807535121328225,0.05509999999999998
WSJ,HFP,congress,0.056807535121328225,0.05509999999999998
WSJ,HFP,congress,0.056807535121328225,0.05509999999999998
WSJ,HFP,sexual intercourse,NaN,NaN
WSJ,HFP,white house,0.051022420634920636,0.05285000000000001
WSJ,HFP,white house,0.051022420634920636,0.05285000000000001
WSJ,HFP,department of the treasury,NaN,NaN
